Source,Target,Weight
election2016,2016election,15946
election2016,westernfirewall,15829
election2016,unprrincipled,15823
election2016,franklypainful,15822
election2016,trump,7461
election2016,166words,3096
election2016,clinton,2923
election2016,hillaryclinton,2888
election2016,vote,2849
election2016,imwithher,2645
election2016,maga,2200
election2016,hillary,2096
election2016,donaldtrump,1773
election2016,nevertrump,1523
election2016,election,1433
election2016,trump2016,1425
election2016,clarify,1281
election2016,usa,1177
election2016,trumptrain,1072
election2016,marijuana,1003
election2016,neverhillary,956
election2016,politics,925
election2016,decision2016,867
election2016,,769
election2016,mustweed,759
election2016,trumpdumb,741
election2016,utah,716
election2016,electionfraud,715
election2016,iwillvote,712
election2016,voterfraud,692
election2016,mcmullin,687
election2016,worldseries,683
election2016,electionday,639
election2016,draintheswamp,617
election2016,fbi,615
election2016,florida,610
election2016,tcot,596
election2016,earlyvoting,590
election2016,gotv,580
election2016,whitehousewatch,579
election2016,hillary2016,572
election2016,undecidedvoter,521
election2016,clintonfoundation,510
election2016,nowalls,506
election2016,yourright,481
election2016,wikileaks,464
election2016,gop,462
election2016,millennials,453
election2016,infowars,445
election2016,climatechange,444
election2016,ohio,432
election2016,voting,419
election2016,txlege,418
election2016,johnson,415
election2016,undecided,410
election2016,trumpvshillary,407
election2016,stein,406
election2016,trumptape,399
election2016,trumptaxreturns,397
election2016,honor,392
election2016,grail,391
election2016,tesla,391
election2016,affirm,391
election2016,ltse,391
election2016,wallup,386
election2016,northcarolina,382
election2016,trumpvsclinton,380
election2016,solidarityis,379
election2016,trumpissexist,377
election2016,stocks,377
election2016,isis,377
election2016,leaders,372
election2016,crookedhillary,369
election2016,globalwarming,367
election2016,presidentialelection,365
election2016,influencer,358
election2016,va,355
election2016,iowa,355
election2016,strongertogether,354
election2016,america,352
election2016,trumppence16,347
election2016,obama,346
election2016,vote2016,330
election2016,elections2016,329
election2016,wakeupamerica,324
election2016,mag,319
election2016,womeninpolitics,318
election2016,president,317
election2016,hillaryindictment,314
election2016,maine,307
election2016,trumppence2016,304
election2016,hillaryforprision,301
election2016,uniteblue,287
election2016,changetheworld,283
election2016,varneyco,279
election2016,maga3x,275
election2016,beheard,265
election2016,diypotus,265
election2016,arizona,261
election2016,cnn,256
election2016,riggedsystem,253
election2016,govote,251
election2016,dumptrump,248
election2016,thursdaythoughts,239
election2016,ivoted,236
election2016,feelthebern,232
election2016,hrc,231
election2016,spiritcooking,231
election2016,potus,225
election2016,nc,224
election2016,imwithher2016,218
election2016,votetrump,217
election2016,news,216
election2016,ccot,209
election2016,votetrump2016,209
election2016,podestaemails28,209
election2016,cl,207
election2016,americafirst,202
election2016,imw,201
election2016,debate,201
election2016,voteblue,201
election2016,lovetrumpshate,196
election2016,democrats,196
election2016,rt,195
election2016,periscope,195
election2016,elections,193
election2016,demexit,192
election2016,donald,191
election2016,ourrevolution,190
election2016,podestaemails,188
election2016,actonclimate,187
election2016,mustread,186
election2016,protectthe2nd,186
election2016,breaking,184
election2016,michigan,183
election2016,polls,183
election2016,trumppence,183
election2016,daesh,182
election2016,wahhabi,182
election2016,wahhabism,180
election2016,voteearly,176
election2016,pjnet,176
election2016,uwn,175
election2016,itscomplicated,174
election2016,p2,173
election2016,hillaryemails,170
election2016,bnb,165
election2016,jillstein,163
election2016,fl,159
election2016,pennsylvania,157
election2016,corruption,154
election2016,cbn2016,153
election2016,taliban,153
election2016,corrupthillary,152
election2016,comey,149
election2016,trumpwatcher,147
election2016,trumpsexism,146
election2016,makeamericagreatagain,144
election2016,vote4hillary,141
election2016,oh,139
election2016,lwv,139
election2016,votingrights,138
election2016,neverracisttrump,137
election2016,trumpiswithyou,137
election2016,vets4trump,137
election2016,therally,135
election2016,jillnothill,135
election2016,uselection,133
election2016,poll,132
election2016,truth,132
election2016,indicthillary,131
election2016,rockthevote,131
election2016,fathersagainsttrump,131
election2016,prayforamerica,131
election2016,hillaryforprison,130
election2016,voteblueupanddownballot,130
election2016,women,128
election2016,hillaryinaz,128
election2016,tgdn,126
election2016,clintonemails,126
election2016,rustbeltroadtrip,125
election2016,pa,125
election2016,gunvote,125
election2016,texas,125
election2016,russia,125
election2016,iran,125
election2016,alwaystrump,124
election2016,immigration,122
election2016,p,119
election2016,libertarian,118
election2016,republicans,118
election2016,stoptrump,116
election2016,climatevoter,116
election2016,berniesanders,116
election2016,california,116
election2016,lockherup,116
election2016,trumplies,115
election2016,republican,115
election2016,democracy,115
election2016,ncpol,110
election2016,us,109
election2016,electingrecession,109
election2016,cannabis,108
election2016,civictech,107
election2016,endthemadness,107
election2016,partyoflincoln,107
election2016,brexit,107
election2016,jackasstrump,107
election2016,womencanstoptrump,106
election2016,700club,106
election2016,tlot,106
election2016,obamacare,106
election2016,u,105
election2016,azwithher,105
election2016,nodapl,105
election2016,hillarysemails,104
election2016,govtech,104
election2016,morningjoe,102
election2016,whiteh,101
election2016,blacklivesmatter,100
election2016,protectourvote,100
election2016,votolatino,98
election2016,johnsonweld,98
election2016,everyvotecounts,98
election2016,cubs,97
election2016,bringbernieback,97
election2016,8days,96
election2016,saudiarabia,95
election2016,africanamericanwomen,95
election2016,alqaeda,94
election2016,clintonkaine,94
election2016,socialmedia,94
election2016,k,91
election2016,4hillary,90
election2016,nyc,89
election2016,theview,89
election2016,copolitics,88
election2016,ga,87
election2016,trumps,87
election2016,ia,86
election2016,economy,85
election2016,nastywomen,85
election2016,uspoli,85
election2016,al,84
election2016,email,84
election2016,syria,84
election2016,foxnews,84
election2016,rigged,84
election2016,hrc2016,82
election2016,itsinourhands,82
election2016,bernie2016,82
election2016,co,81
election2016,wildlife,81
election2016,students,81
election2016,garyjohnson,81
election2016,amendthe2nd,80
election2016,dnc,80
election2016,jamescomey,80
election2016,bokoharam,80
election2016,weinergate,79
election2016,az,78
election2016,wednesdaywisdom,78
election2016,blockchain,77
election2016,militia,76
election2016,diversity,76
election2016,bernieorbust,75
election2016,equalvoice,75
election2016,changeyourvote,75
election2016,pray,75
election2016,nevada,75
election2016,podestaemails26,74
election2016,myelectoralmap,73
election2016,hillarykaine,73
election2016,pro,73
election2016,terrorism,73
election2016,lasen,73
election2016,campaign2016,72
election2016,political,71
election2016,latino,71
election2016,hbusa,70
election2016,auspol,70
election2016,makerabreaker,70
election2016,racism,70
election2016,demographics,69
election2016,votersuppression,69
election2016,nastywoman,69
election2016,tntweeters,69
election2016,christian,69
election2016,lsu,69
election2016,electionnews,68
election2016,flipitdem,67
election2016,realtalk,67
election2016,2a,67
election2016,deplorable,67
election2016,trumpisdangerous,67
election2016,saturnodevorandoasuhijo,67
election2016,clintonkaine2016,67
election2016,yyc,66
election2016,emailscandal,66
election2016,electi,66
election2016,robertredford,65
election2016,538,65
election2016,blackboxvoting,65
election2016,ncsen,65
election2016,scotus,65
election2016,vapol,65
election2016,podestaemails25,65
election2016,democrat,65
election2016,socialist,65
election2016,peanuts,64
election2016,education,64
election2016,youin,64
election2016,drumpf,64
election2016,election16,64
election2016,nbc,64
election2016,msnbc,64
election2016,cubswin,64
election2016,swingstate,63
election2016,getoutthevote,63
election2016,michelleobama,63
election2016,fridayfeeling,63
election2016,game7,63
election2016,7days,63
election2016,abc,62
election2016,blm,62
election2016,earlyvote,61
election2016,womenvote,60
election2016,dontboovote,60
election2016,hillaryforamerica,60
election2016,bridgegate,59
election2016,wisconsin,59
election2016,trumpdanger,59
election2016,podesta,58
election2016,doyourjob,58
election2016,merica,58
election2016,electio,58
election2016,donthecon,58
election2016,conan,58
election2016,getoutandvote,57
election2016,vote16,57
election2016,hemp,57
election2016,7dayselection2016,57
election2016,electoralcollege,57
election2016,healthcare,57
election2016,themoreyouknow,57
election2016,uselection2016,57
election2016,whyimwithher,57
election2016,notmeus,57
election2016,latinos,57
election2016,badhombres,57
election2016,justvote,56
election2016,corruptmedia,56
election2016,thejoepagsshow,56
election2016,steinbaraka,56
election2016,didyouknow,56
election2016,cbs,56
election2016,fyi,55
election2016,history,55
election2016,leavethedemocratplantation,55
election2016,clinton2016,55
election2016,imintoo,54
election2016,podestaemails29,54
election2016,cnbc,54
election2016,dems,54
election2016,voted,53
election2016,potus2016,53
election2016,virginia,53
election2016,yeson64,53
election2016,uspolitics,53
election2016,ohi,53
election2016,lgbtq,53
election2016,voters,52
election2016,mattlauer,52
election2016,georgestephanopoulos,52
election2016,gma,52
election2016,cnnnewday,52
election2016,melaniatrump,52
election2016,maddow,52
election2016,msm,52
election2016,halloween,52
election2016,robinroberts,52
election2016,meditation,52
election2016,todayshow,52
election2016,bernie,51
election2016,cyberbullying,51
election2016,lgbt,51
election2016,trumpism,50
election2016,greenparty,50
election2016,cdnpoli,50
election2016,wikileaksemail,50
election2016,notokay,50
election2016,stoptppnow,50
election2016,conannyc,50
election2016,oea,50
election2016,imwithyou,49
election2016,neverhilla,49
election2016,nasty,49
