Source,Target,Weight
imwithher,hillaryclinton,10706
imwithher,podestaemails36,8325
imwithher,podestaemails,8080
imwithher,notmypresident,6218
imwithher,electionnight,4810
imwithher,twitterblackout,3045
imwithher,imstillwithher,2878
imwithher,electionday,2304
imwithher,election2016,2130
imwithher,presidenttrump,2088
imwithher,trumpprotest,1985
imwithher,lovewins,1959
imwithher,hillary2020,1949
imwithher,ì‹¸ì_°ë_”ì—¬ì_êê°€ìù´ê¸´ë‹_,1944
imwithher,nyc,1785
imwithher,protest,1756
imwithher,timessquare,1724
imwithher,strongertogether,1278
imwithher,newyork,758
imwithher,maga,735
imwithher,vote,632
imwithher,hesnotmypresident,626
imwithher,trump,503
imwithher,stillwithher,446
imwithher,uselection,385
imwithher,nevertrump,344
imwithher,lovetrumpshate,342
imwithher,hillary,331
imwithher,godblessamerica,329
imwithher,donaldtrumpwins,316
imwithher,electionresults,274
imwithher,,272
imwithher,imwithus,243
imwithher,hillstory,205
imwithher,feelthebern,192
imwithher,ripamerica,190
imwithher,govote,189
imwithher,votehillary,168
imwithher,trumppresident,162
imwithher,democrats,162
imwithher,fuckdonaldtrump,161
imwithher,voteordie,160
imwithher,trumptrain,158
imwithher,fighter,158
imwithher,benghazi,156
imwithher,president,152
imwithher,uselection2016,152
imwithher,turnncblue,148
imwithher,dayofthegirl,147
imwithher,sf,147
imwithher,oss,147
imwithher,æ—©ç¨_ç”°å_§å__,147
imwithher,èÅ–æ›¸,147
imwithher,å_§é_ˆå¡_,147
imwithher,michelleobama,145
imwithher,emails,138
imwithher,clinton,135
imwithher,clintonfoundation,135
imwithher,sheswithyou,133
imwithher,elections2020,128
imwithher,neverhillary,127
imwithher,wikileaks,120
imwithher,berniesanders,117
imwithher,election,115
imwithher,draintheswamp,115
imwithher,presidentelecttrump,111
imwithher,eleicoesnoseua,107
imwithher,ivoted,105
imwithher,heswithus,103
imwithher,fucktrump,97
imwithher,mypresident,96
imwithher,hrc,94
imwithher,pantsuitnation,94
imwithher,myvote2016,93
imwithher,donaldtrump,91
imwithher,blacklivesmatter,87
imwithher,buildthewall,81
imwithher,elections2016,81
imwithher,loveislove,79
imwithher,podestaemails35,77
imwithher,hillary2016,76
imwithher,kanye2020,75
imwithher,trump2016,74
imwithher,dumptrump,74
imwithher,amerikkka,73
imwithher,uniteblue,71
imwithher,lgbt,70
imwithher,maga3x,69
imwithher,nastywoman,68
imwithher,thatsmygirl,66
imwithher,ap40fifthharmony,66
imwithher,bernie,65
imwithher,p2,65
imwithher,lockherup,64
imwithher,americaisoverparty,64
imwithher,alwayswithher,63
imwithher,equality,62
imwithher,imwithher2016,62
imwithher,makeamericagreatagain,59
imwithher,america,59
imwithher,demexit,58
imwithher,thankyouhillary,55
imwithher,popularvote,54
imwithher,dnc,53
imwithher,trumpwins,53
imwithher,blm,52
imwithher,wallstreet,51
imwithher,littlemonstersunite,51
imwithher,imwithheralways,50
imwithher,gooutandvote,49
imwithher,electionfinalthoughts,49
imwithher,hilaryclinton,49
imwithher,calexit,48
imwithher,stillwithhill,48
imwithher,imwiththem,48
imwithher,always,48
imwithher,imwithyou,48
imwithher,crookedhillary,47
imwithher,grace,47
imwithher,vote2016,47
imwithher,tcot,46
imwithher,usa,44
imwithher,podesta,44
imwithher,beentheredonethat,43
imwithher,cnn,41
imwithher,love,41
imwithher,imvotingbecause,40
imwithher,gayrightsarehumanrights,39
imwithher,makeamericagayagain,38
imwithher,badhombres,38
imwithher,concessionspeech,38
imwithher,lgbtq,38
imwithher,getoutthevote,37
imwithher,chicago,37
imwithher,jillnothill,37
imwithher,trumppence16,37
imwithher,prayforusa,37
imwithher,thanksobama,36
imwithher,themorningafter,35
imwithher,hillyes,34
imwithher,thefutureisfemale,33
imwithher,electionhangover,33
imwithher,dems,33
imwithher,weloveyoumiley,32
imwithher,hope,32
imwithher,thank,31
imwithher,notmypres,31
imwithher,bernieorbust,31
imwithher,obama,31
imwithher,stillsanders,31
imwithher,organized,30
imwithher,voteblue,29
imwithher,imwithherstill,29
imwithher,el,29
imwithher,trumpprotests,29
imwithher,gop,29
imwithher,dncleak,28
imwithher,podestaemails34,28
imwithher,still,28
imwithher,liberals,28
imwithher,wtfamerica,28
imwithher,canada,27
imwithher,no,27
imwithher,garyjohnson,27
imwithher,clintonkaine2016,27
imwithher,everyvotecounts,26
imwithher,sheswithus,26
imwithher,imwithhim,26
imwithher,trumpocalypse,25
imwithher,syria,25
imwithher,dncleak2,25
imwithher,imnotwithhim,25
imwithher,msnbc,25
imwithher,democrat,25
imwithher,girlpower,24
imwithher,herstory,24
imwithher,morningafter,24
imwithher,nastywomenvote,24
imwithher,republicans,24
imwithher,video,23
imwithher,prayforamerica,23
imwithher,2016election,22
imwithher,notrump,22
imwithher,women,21
imwithher,spiritcooking,21
imwithher,sheswithme,21
imwithher,womensrights,21
imwithher,heartbroken,21
imwithher,iwillalwaysbewithher,21
imwithher,thankyou,21
imwithher,neverforget,20
imwithher,hillaryclinton2016,20
imwithher,ourrevolution,20
imwithher,wcw,20
imwithher,trumppence2016,20
imwithher,tastytears,20
imwithher,potus,20
imwithher,michelleobama2020,19
imwithher,sfstate,19
imwithher,berners,19
imwithher,truth,19
imwithher,feminism,19
imwithher,amas,19
imwithher,mtp,18
imwithher,mannequinchallenge,18
imwithher,strong,18
imwithher,strongertog,18
imwithher,repost,18
imwithher,hillaryvictoryfund,17
imwithher,thatsmygirlhillary,17
imwithher,hillaryforprison,16
imwithher,tyt,16
imwithher,latinos,16
imwithher,antitrump,16
imwithher,madampresident,16
imwithher,rankedchoicevoting,16
imwithher,stressed,16
imwithher,notmypresidnet,16
imwithher,truepundit,16
imwithher,hillaryforpresident,16
imwithher,notmypresi,16
imwithher,ctl,15
imwithher,heisnotmypresident,15
imwithher,pdmfnb,15
imwithher,fallontonight,15
imwithher,glassceiling,15
imwithher,outdatedlaw,15
imwithher,tntweeters,15
imwithher,impeachtrump,15
imwithher,withher,15
imwithher,lbgt,15
imwithher,usa2016,15
imwithher,hatzidakis,15
imwithher,greenparty,15
imwithher,imstillwithhere,14
imwithher,equaljusticeunderlaw,14
imwithher,electoralcollege,14
imwithher,democracy,14
imwithher,readyforhillary,14
imwithher,notmypresisent,14
imwithher,gohigh,13
imwithher,thankshillary,13
imwithher,pjnet,13
imwithher,not,13
imwithher,peace,13
imwithher,triggered,13
imwithher,unity,13
imwithher,mymood,13
imwithher,trumpsfirstorder,13
imwithher,michelle2020,13
imwithher,2020,13
imwithher,leadership,13
imwithher,concession,13
imwithher,c,12
imwithher,hillarysaccomplishments,12
imwithher,speech,12
imwithher,podestaemails32,12
imwithher,work,12
imwithher,votolatino,12
imwithher,elec,12
imwithher,voted,12
imwithher,madamepresident,12
imwithher,classact,12
imwithher,terrorism,12
imwithher,electionnig,12
imwithher,imalwayswithher,12
imwithher,trumpforprison,12
imwithher,nycprotest,11
imwithher,unitedwestand,11
imwithher,parisforpresident,11
imwithher,womenforhillary,11
imwithher,womenruntheworld,11
imwithher,recount,11
imwithher,myvote,11
imwithher,florida,11
imwithher,politics,11
imwithher,futurepresident,11
imwithher,dncfail,11
imwithher,shevote,11
imwithher,nvtogether,11
imwithher,thankobamain4words,11
imwithher,amjoy,11
imwithher,billmaher,11
imwithher,respect,11
imwithher,imsowithher,11
imwithher,michelleforpresident,10
imwithher,climatechange,10
imwithher,deplorables,10
imwithher,obama2020,10
imwithher,minnesotadfl,10
imwithher,afterthevote,10
imwithher,msm,10
imwithher,camrenisassumed,10
imwithher,demsinphilly,10
imwithher,hilaryclintons,10
imwithher,votebts,10
imwithher,election2020,10
imwithher,wethepeople,10
imwithher,opexposecps,10
imwithher,americahasfallen,10
imwithher,nastywomenkeepfighting,10
imwithher,doomsday,10
imwithher,itsinourhands,10
imwithher,estoyconella,10
imwithher,opdeatheaters,10
imwithher,ophillary,10
imwithher,next4yearsin4words,10
imwithher,imstillwit,10
imwithher,s,9
imwithher,johnoliver,9
imwithher,hillaryforprison2016,9
imwithher,cantstumpthetrump,9
imwithher,thedayafter,9
imwithher,forever,9
imwithher,stillbernie,9
imwithher,wtfusa,9
imwithher,liberaltears,9
imwithher,berniewasright,9
imwithher,class,9
imwithher,billclinton,9
imwithher,lnyhbt,9
imwithher,notmypresedent,9
imwithher,wednesdaywisdom,9
imwithher,brexit,9
imwithher,imscared,9
imwithher,jimmydore,9
imwithher,hfa,9
imwithher,trum,9
imwithher,regressive,9
imwithher,presidentialelection,9
imwithher,feminist,9
imwithher,edgeof17,9
imwithher,inspiration,9
imwithher,americafirst,9
imwithher,gayrights,8
imwithher,u,8
imwithher,stayinline,8
imwithher,girlscanbeanything,8
imwithher,retweet,8
imwithher,ccot,8
imwithher,bekind,8
imwithher,arribaloslatinos,8
imwithher,svpol,8
imwithher,electionday2016,8
imwithher,valuableandpowerful,8
imwithher,votehaileybaldwin,8
imwithher,dontboovote,8
imwithher,devastated,8
imwithher,trumpisnotmypresident,8
imwithher,hillaryclintonforpresident,8
imwithher,tgdn,8
imwithher,nastywomen,8
imwithher,fbi,8
imwithher,fdt,8
imwithher,notmyprisident,8
imwithher,imgettingdeportedparty,8
imwithher,regressiveleft,8
imwithher,seattle,8
imwithher,hillaryclintonforpre,8
imwithher,gay,8
imwithher,battlegroundstates,8
imwithher,gohillary,8
imwithher,foxnews,8
imwithher,hungergames,8
imwithher,impeachment,8
imwithher,2016,8
imwithher,shineon,8
imwithher,tellmethatsnotsexism,8
imwithher,ijs,8
imwithher,hillaryspeech,8
imwithher,uselections,8
imwithher,postelection,8
imwithher,illalwaysbewithher,8
imwithher,tytlive,8
imwithher,imwithtrump,8
imwithher,e,7
imwithher,hilary,7
imwithher,maddow,7
imwithher,lovetrumpsha,7
imwithher,voteirl,7
imwithher,riseup,7
imwithher,stoptrump,7
imwithher,inners,7
imwithher,lovetrum,7
imwithher,podestaemails23,7
imwithher,longview,7
imwithher,notmypresidentelect,7
imwithher,mrspresident,7
imwithher,amberheard,7
imwithher,imwithhergoingtoprison,7
imwithher,mychampion,7
imwithher,ripaamerica,7
imwithher,teamhillary,7
imwithher,wegohigh,7
imwithher,girls,7
imwithher,socialdemokraterna,7
imwithher,rockthevote,7
imwithher,imwithhers,7
imwithher,humanrights,7
imwithher,arctowardsjustice,7
imwithher,pantssuitnation,7
imwithher,impeachdonaldtrump,7
imwithher,demexitnow,7
imwithher,justiceforharambe,7
imwithher,nodapl,7
imwithher,quote,7
imwithher,trumptriumphs,7
imwithher,eleccioneseeuu2016,7
imwithher,hamilton,7
imwithher,barrierbreakers2016,7
imwithher,supportingwomenwednesday,7
imwithher,pantsuit,7
imwithher,iheartnyc,7
imwithher,millenialtalk,7
imwithher,nevertrum,7
imwithher,womenpower,7
imwithher,notmypresdient,7
imwithher,jillstein,7
imwithher,election16,7
imwithher,comedianshari,7
imwithher,latinosforhillary,7
imwithher,andher,7
imwithher,joanne,7
imwithher,whitelash,7
imwithher,neveragain,7
imwithher,imstillwithhillary,7
imwithher,hillaryforever,7
imwithher,useyourvote,7
imwithher,madeforhistory,6
imwithher,cnnelection,6
imwithher,foreverhillary,6
imwithher,n4p,6
imwithher,electiondaydonald,6
imwithher,destino2016,6
imwithher,timkaine,6
imwithher,staystrong,6
imwithher,california,6
imwithher,podestaemails33,6
imwithher,hillaryclintons,6
imwithher,ele,6
imwithher,imwithherhillaryclinton,6
imwithher,madamepresid,6
imwithher,earlyvote,6
imwithher,remain,6
imwithher,blackout,6
imwithher,dontgiveup,6
imwithher,wiunion,6
imwithher,countryofkindness,6
imwithher,scary,6
imwithher,ifear,6
imwithher,wtf,6
imwithher,dontbeanidiot,6
imwithher,electionresult,6
imwithher,faithlesselector,6
imwithher,imwithstupid,6
imwithher,us,6
imwithher,protesting,6
imwithher,cometogether,6
imwithher,sexism,6
imwithher,champion,6
imwithher,unite,6
imwithher,werise,6
imwithher,diadelosmuertos,6
imwithher,demconvention,6
imwithher,nowthattrumpispresident,6
