Source,Target,Weight
imwithher,hillaryclinton,36386
imwithher,podestaemails,27077
imwithher,maga,20433
imwithher,nevertrump,20003
imwithher,strongertogether,18761
imwithher,podestaemails25,13257
imwithher,hillary,12547
imwithher,gohillary,11506
imwithher,podestaemails24,11274
imwithher,uniteblue,10733
imwithher,trump,9222
imwithher,podestaemails26,7436
imwithher,p2,6297
imwithher,voteblue,5570
imwithher,vote,5562
imwithher,election2016,5039
imwithher,ctl,4952
imwithher,americafirst,4557
imwithher,draintheswamp,4225
imwithher,hillaryforprision,4137
imwithher,tntweeters,3951
imwithher,hillary2016,3681
imwithher,halloween2016,3654
imwithher,heswithher,3649
imwithher,notawig,3609
imwithher,wholefam,3528
imwithher,,3021
imwithher,neverhillary,2749
imwithher,dumptrump,2723
imwithher,hillaryforprison,2601
imwithher,proudtobepa,2579
imwithher,trum,2491
imwithher,trumptrain,2413
imwithher,lovetrumpshate,2281
imwithher,wikileaks,2266
imwithher,fbisongs,2204
imwithher,maga3x,2100
imwithher,fbi,2059
imwithher,clintonkaine,2059
imwithher,hillarysarmy,2053
imwithher,sheswithus,1975
imwithher,trickortreat,1921
imwithher,cnn,1914
imwithher,feelthebern,1862
imwithher,lastword,1789
imwithher,demstorm,1781
imwithher,clinton,1714
imwithher,votetrump,1701
imwithher,crookedhillary,1664
imwithher,tru,1661
imwithher,hillyes,1656
imwithher,hillarysemails,1577
imwithher,terribletrump,1534
imwithher,hillaryemails,1487
imwithher,nastywoman,1331
imwithher,hrc,1320
imwithher,jillnothill,1313
imwithher,gotv,1280
imwithher,podestaemails23,1277
imwithher,uslatino,1273
imwithher,dirtydonald,1266
imwithher,strongertogeth,1230
imwithher,gop,1204
imwithher,msnbc,1149
imwithher,lockherup,1129
imwithher,amjoy,1111
imwithher,florida,1084
imwithher,potus,1079
imwithher,tcot,995
imwithher,trumppence16,966
imwithher,trump2016,964
imwithher,stoptrump,942
imwithher,berniesanders,935
imwithher,makeamericagreatagain,925
imwithher,ourrevolution,907
imwithher,earlyvoting,899
imwithher,donaldtrump,898
imwithher,gopunfitquit,892
imwithher,clintonkaine2016,876
imwithher,ohio,871
imwithher,hillarysemail,848
imwithher,flipitdem,841
imwithher,election,839
imwithher,imwithher2016,831
imwithher,happyhalloween,822
imwithher,bluewave2016,797
imwithher,elections2016,789
imwithher,ohhillyes,786
imwithher,ivoted,750
imwithher,comey,747
imwithher,candysongs,746
imwithher,democrats,717
imwithher,trumpfbicodename,714
imwithher,draftourdaughters,711
imwithher,gotvforhrc,710
imwithher,nevertru,671
imwithher,blacklivesmatter,668
imwithher,foxnews,643
imwithher,politics,622
imwithher,usa,608
imwithher,northcarolina,599
imwithher,imwithnasty,591
imwithher,firecomey,587
imwithher,bluewave,587
imwithher,tuesdaymotivation,583
imwithher,dnc,553
imwithher,demexit,552
imwithher,voteearly,534
imwithher,humaabedin,527
imwithher,deplorables,521
imwithher,ncpol,520
imwithher,madampresident,517
imwithher,votebluedownballot,503
imwithher,voteblue2016,497
imwithher,govote,494
imwithher,halloween,486
imwithher,clintonemails,484
imwithher,nastywomen,478
imwithher,cdnpoli,475
imwithher,voteorgrope,475
imwithher,women,462
imwithher,jamescomey,453
imwithher,iwillvote,450
imwithher,lgbt,447
imwithher,dontboovote,435
imwithher,strongertogethe,431
imwithher,blm,421
imwithher,v,420
imwithher,americafirs,417
imwithher,stron,416
imwithher,wakeupamerica,414
imwithher,scarytrumpstories,410
imwithher,ohvotesearly,399
imwithher,voterfraud,393
imwithher,f,393
imwithher,bringbernieback,390
imwithher,votehillary,384
imwithher,fltogether,382
imwithher,pennsylvania,381
imwithher,grabyourwallet,380
imwithher,womenforhillary,377
imwithher,donthecon,373
imwithher,fl,367
imwithher,comeygate,358
imwithher,expectus,356
imwithher,syria,353
imwithher,nastywomenvote,352
imwithher,america,351
imwithher,jillstein,351
imwithher,dems,351
imwithher,bernieorbust,343
imwithher,imwithhillary,339
imwithher,debatenight,336
imwithher,hilla,335
imwithher,h,334
imwithher,millennials,334
imwithher,dropouthillary,334
imwithher,trumptapes,333
imwithher,itrusthillary,329
imwithher,obama,327
imwithher,d,324
imwithher,sundaymorning,320
imwithher,nc,316
imwithher,flipthesenate,315
imwithher,reprohealth,314
imwithher,orangehitler,313
imwithher,morningjoe,311
imwithher,womencanstoptrump,311
imwithher,clintonfoundation,310
imwithher,corruption,305
imwithher,hardball,303
imwithher,thanksobama,302
imwithher,syrisgate,300
