Source,Target,Weight
maga,presidenttrump,3736
maga,trump,2378
maga,trumpprotest,1778
maga,election2016,1766
maga,electionnight,1717
maga,presidentelecttrump,1550
maga,trump2016,1497
maga,tcot,1491
maga,draintheswamp,1373
maga,trumptrain,1352
maga,notmypresident,1096
maga,trumppence16,746
maga,trumppresident,658
maga,americafirst,616
maga,ccot,587
maga,t,580
maga,themorningafter,575
maga,pjnet,493
maga,gop,479
maga,trumpwon,463
maga,kellyfile,456
maga,soros,453
maga,electionday,435
maga,bengarrison,422
maga,dealwithit,412
maga,thankobamain4words,400
maga,cartoons,398
maga,trumpwins,390
maga,,368
maga,maga3x,320
maga,america,312
maga,buildthewall,304
maga,imstillwithher,300
maga,makeamericagreatagain,293
maga,neverhillary,283
maga,crookedhillary,277
maga,imwithher,245
maga,norefugees,232
maga,radicalislam,229
maga,wikileaks,228
maga,lockherup,221
maga,trumpday,216
maga,lnyhbt,204
maga,trumppence2016,198
maga,dc,186
maga,trumppotus,186
maga,themornin,183
maga,presidenttr,182
maga,f,181
maga,usa,169
maga,tgdn,163
maga,deplorables,160
maga,revengeofthedeplorables,160
maga,2a,158
maga,calexit,147
maga,next4yearsin4words,140
maga,julianassange,138
maga,free,136
maga,respect,135
maga,altright,134
maga,pardoned,132
maga,presidentelec,131
maga,potus,131
maga,trumpsfirstorder,129
maga,buildthatwall,127
maga,hillarys,126
maga,hannity,126
maga,peace,125
maga,trumpfamily,122
maga,justice,122
maga,msm,121
maga,electionfinalthoughts,118
maga,dra,115
maga,donaldtrump,111
maga,nra,111
maga,obama,111
maga,wethepeople,109
maga,liberaltears,108
maga,myvote2016,104
maga,hillary,103
maga,congratulations,102
maga,proudtobeanamerican,100
maga,election,98
maga,westandtogether,94
maga,electionresults,92
maga,afterthevote,91
maga,votetrump,90
maga,podestaemails36,88
maga,teamtrump,88
maga,hillaryclinton,88
maga,rednationrising,86
maga,democrats,86
maga,benghazi,85
maga,dobbs,82
maga,latinoswithtrump,78
maga,bluelivesmatter,78
maga,cnn,77
maga,freejulian,75
maga,uselection2016,73
maga,vets,69
maga,democratic,68
maga,plantation,67
maga,trumppence,67
